"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005004183835786","https://ae04.alicdn.com/kf/Sf6a11f339f9a4db5b79f78d9c239071cs.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100014475188.mp4","Pokemon Anime Action Figures Pikachu Toys Model Charmander Psyduck Squirtle Jigglypuff Bulbasaur Kawaii Collect Dolls Kids Gift","USD 9.00","USD 3.78","58%","USD","8.0","USD 0.30","30","94.3%","https://s.click.aliexpress.com/e/_DCu1HT5"
"4000268522130","https://ae04.alicdn.com/kf/S089eb951229841f88b19fd1e05c2b353g.jpg",,"8pcs Real Steel Toys Atom Movie Zeus Twin Cities Midas Robot Action Figure 13cm Gift Doll Model Anime Non-JAKKS Robot","USD 25.58","USD 25.58","0%","USD","7","USD 1.79","79","95.3%","https://s.click.aliexpress.com/e/_Dkymtq3"
"1005004458027476","https://ae04.alicdn.com/kf/S25014d1e0dc84d958e5937646f9e0d6b4.jpg",,"Transformation 6 in 1 Model MINI Devastator 21CM Action Figure Robot Plastic Toys BEST Gift Child Kid New","USD 20.88","USD 16.50","21%","USD","7","USD 1.16","34","100.0%","https://s.click.aliexpress.com/e/_DB5K4PD"
"1005004118871075","https://ae04.alicdn.com/kf/S0693e6bf08c34e58b34ba6eaf8ec76b55.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100019646906.mp4","Pokemon Pikachu Night Light  Animal Nursery Bedside Lamp for Kids Bedrooms Ornaments Children's Luminous Toys Christmas Gift.","USD 6.87","USD 3.85","44%","USD","8.0","USD 0.31","1005","94.5%","https://s.click.aliexpress.com/e/_DeuKErp"
"1005003227052797","https://ae04.alicdn.com/kf/He544b3c1a9ac4eb09aa528070e0101c1s.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/282032905082.mp4","ZD Genuine Marvel Avengers IRonman Mk2 Mk3 Mk4 Mk5 Mk6 MK7 Garage with LED Articulated Figure Toys 7 inch for Children Gift","USD 16.72","USD 16.72","0%","USD","7","USD 1.17","66","100.0%","https://s.click.aliexpress.com/e/_DnMVnYJ"
"1005003178752849","https://ae04.alicdn.com/kf/H033f9388b95d438aabfffde09936ef98x.jpg",,"28 Style Silverlit Robocar Korea kids Toys Robot Poli Roy Haley Anime Metal Action Figure Cartoon Toy Car For Children Best Gift","USD 2.33","USD 1.65","29%","USD","7","USD 0.12","435","98.8%","https://s.click.aliexpress.com/e/_DBMFvcr"
"1005002523258584","https://ae04.alicdn.com/kf/Sadb26bd8e8bb4cffb2b506c7301f2b02F.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/307301883325.mp4","2021 Hot RC Robot Smart Action Walk Singing Dance Action Figure Gesture Sensor Toys Gift for Children","USD 33.54","USD 18.11","46%","USD","10.5","USD 1.90","188","96.2%","https://s.click.aliexpress.com/e/_DDX18KJ"
"1005004302937031","https://ae04.alicdn.com/kf/Sd5655cd444aa48229dc681357c9db07fK.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100031382684.mp4","Alloy Disney Avengers Car Batmobile Captain America Hulk Ironman Spiderman Action Figures Racing Model  Toy For Boys Gift","USD 2.55","USD 1.45","43%","USD","7","USD 0.10","235","91.7%","https://s.click.aliexpress.com/e/_DkqhYgT"
"4001119114268","https://ae04.alicdn.com/kf/S2f27eb17331c43bc934d47dd345454dcA.jpg",,"Super Wings Transforming Egg Jett Dizzy Donnie Catapult Mini Planes Deformation Airplane Robot Eggs Action Figures Kids Toy Gift","USD 15.13","USD 10.59","30%","USD","8.0","USD 0.85","58","100.0%","https://s.click.aliexpress.com/e/_DlMNSMj"
"1005004356734111","https://ae04.alicdn.com/kf/Se01d5b53d03e4a30a00afe70408bd0e2z.jpg",,"COMIC CLUB IN-STOCK EW EffectsWings Bracket For Burst Armor For MG 1/100 OO VIRTUE Assembly Model Robot Figure Toy","USD 14.50","USD 11.74","19%","USD","7","USD 0.82","31","100.0%","https://s.click.aliexpress.com/e/_DCRztUJ"
"1005004068690546","https://ae04.alicdn.com/kf/Sa31aad0b17f741d4858edd0969d4d0c1T.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100003479220.mp4","AOYI BMB Transformation Transforming Robot Toys Truck head Alloy Edition Anime Action Figure Tank Model Toys For Kids Gift","USD 34.99","USD 16.10","54%","USD","10.0","USD 1.61","87","92.0%","https://s.click.aliexpress.com/e/_DdvPHon"
