"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005002430789520","https://ae04.alicdn.com/kf/Hc932c8f44cb240df84f7fd8d8d6c4613i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/340414351042.mp4","TRVLWEGO Camping Hiking Jacket Women Autumn Outdoor Sports Coats Climbing Trekking Windbreaker Travel Waterproof Purple Rosy","USD 91.10","USD 21.86","76%","USD","8.0","USD 1.75","262","96.2%","https://s.click.aliexpress.com/e/_DdJWMuF"
"4000219804496","https://ae04.alicdn.com/kf/H6e78097d9bac4ddd820158aaa5fcea54n.jpg",,"2019 newest super LIGHTWEIGHT PRO TEAM II CYCLING WINDPROOF JACKET LONG SLEEVE WIND BREAK jacket package for easy to carry women","USD 29.99","USD 26.39","12%","USD","7","USD 1.85","135","95.0%","https://s.click.aliexpress.com/e/_Dm7pz1p"
"4000319352065","https://ae04.alicdn.com/kf/H5db239e021344dd5bfc30b29bb27c38aC.jpg",,"Pet Dog Clothes Winter Leopard Pattern Tutu Coats Jackets for Small Large Dogs Cat Clothing Warm Striped Winter Costume","USD 2.89","USD 2.25","22%","USD","7","USD 0.16","21","100.0%","https://s.click.aliexpress.com/e/_DdwHLIj"
"1005003293751832","https://ae04.alicdn.com/kf/Hed599e0e8d184cf394ccfbe76b1911bct.jpg",,"7.5"" Transformation Robot Car Toys Airplane Action Figure Modle BEST Gift Education Children","USD 12.57","USD 10.68","15%","USD","8.0","USD 0.85","32","100.0%","https://s.click.aliexpress.com/e/_DmU0syb"
"1005003648219193","https://ae04.alicdn.com/kf/Hfa296fa07aed4801a7d07b26292d7f72g.jpg",,"16CM Disney Marvel Series Venom Glowing Action Figure Children's Toy Movie Avengers Charm Hero Car Ornament Gift","USD 3.00","USD 1.83","39%","USD","7","USD 0.13","28","95.6%","https://s.click.aliexpress.com/e/_DdAxsob"
"1005002402151137","https://ae04.alicdn.com/kf/H22d73489b6384af7b8eb6d0c7e91c016m.jpg",,"2pcs/set Kuroba Finger Guessing Game Deformation Educational Toys Rock-Paper-Scissors Battle Boy and Girl Family Party Toys","USD 40.33","USD 23.79","41%","USD","8.0","USD 1.90","32","73.3%","https://s.click.aliexpress.com/e/_DnKxhHD"
"1005002460270184","https://ae04.alicdn.com/kf/H90e63782c3934268aa9ae350459a5978B.jpg",,"Robot WALL E Tiny Collection Action Figure Toys","USD 2.47","USD 2.47","0%","USD","7","USD 0.17","34","90.0%","https://s.click.aliexpress.com/e/_Dnt6PeL"
"1005004024440913","https://ae04.alicdn.com/kf/S5f7a85870a91407ba9ca2a38dafe804bG.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352071511201.mp4","New Hot 3/5Pcs Three Little Kitten PVC Anime Figure Russian Cartoon Happy e-Cat Family Figurine Model Doll Toy for Child Gift","USD 6.31","USD 4.80","24%","USD","7","USD 0.34","145","97.5%","https://s.click.aliexpress.com/e/_DkHMOOR"
"32951485248","https://ae04.alicdn.com/kf/HTB11x5tXOnrK1RjSsziq6xptpXaS.jpg",,"4pcs/set 8cm Robot Trains Transformation Kay Alf Dynamic Train Family Deformation Train Car action figure toys toys for children","USD 23.32","USD 16.32","30%","USD","8.0","USD 1.31","38","90.0%","https://s.click.aliexpress.com/e/_DlqrVbH"
"4000002789333","https://ae04.alicdn.com/kf/H0051294fa03e4f33b725a817a3c638ebu.jpg",,"Mini Soundwave With Laserbeak Transformation MFT HS-03 HS03 Hot Soldiers G1 Pocket War Deformation Action Figure Robot Toy Gifts","USD 27.20","USD 18.50","32%","USD","7","USD 1.30","141","97.4%","https://s.click.aliexpress.com/e/_DCDmVL9"
"32739723197","https://ae04.alicdn.com/kf/HTB1zT1RNpXXXXcsXXXXq6xXFXXXS.jpg",,"1pcs Hot Gift Collector's Edition Dota 2 Game Figure SLARK VS TINY Doom Boxed Exquisite PVC Action Figures Collection Dota2 Toys","USD 11.86","USD 4.74","60%","USD","7","USD 0.33","204","92.6%","https://s.click.aliexpress.com/e/_DDbITr9"
"1005001548910934","https://ae04.alicdn.com/kf/H979d72b0bab84852a56e56bccd05ddf2N.jpg",,"APC-Toys Apache Transformation Toys TFP Leader's Witness Prime OP Robot Transformed Into Car Model","USD 42.88","USD 42.88","0%","USD","7","USD 3.00","40","96.3%","https://s.click.aliexpress.com/e/_DdH8yjp"
"1005004104979113","https://ae04.alicdn.com/kf/S1629806722de497aa5d122ff7886cca84.jpg",,"Bakuganes,Unique 5 8 12 Children's Suitable For Children Toy Burst Collectible Action Figures Fusion met Mo	nster Ball","USD 6.80","USD 3.40","50%","USD","7","USD 0.24","45","85.0%","https://s.click.aliexpress.com/e/_DBPGUYx"
"1005002266589598","https://ae04.alicdn.com/kf/He8143e458cc24fc2b9e52c8c4bd92968x.jpg",,"5cm Soldier GK Military Soldier PVC Model Toys Robot Army Fan Collection Solid Model Garage For Kid Child Family Educational Toy","USD 23.65","USD 14.90","37%","USD","8.5","USD 1.27","24","97.1%","https://s.click.aliexpress.com/e/_DF4eNmT"
"1005004491331309","https://ae04.alicdn.com/kf/Sf399e4ea11504b35b22324362c164a844.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100060888677.mp4","Kids Dancing Robot Rotating Light Music Electronic Sing Toys Robot Children Intelligent Early Education Toy For Birthday Gift","USD 16.63","USD 7.98","52%","USD","7","USD 0.56","215","90.0%","https://s.click.aliexpress.com/e/_DCys7UB"
"32769813352","https://ae04.alicdn.com/kf/HTB1DGxAPVXXXXaiapXXq6xXFXXXt.jpg",,"DOTA 2 Game Figure Kunkka Lina Pudge Queen Tidehunter CM FV PVC Action Figures Collection dota2 Toys","USD 11.98","USD 7.19","40%","USD","8.0","USD 0.58","76","95.2%","https://s.click.aliexpress.com/e/_DknKsWJ"
"1005002404119701","https://ae04.alicdn.com/kf/H2bcec71964474f3facbe41e151eb66027.jpg",,"18cm Transformation robot toy car model anime action figure movie series SS38 tank model boy kids gift collection","USD 19.31","USD 12.36","36%","USD","8.0","USD 0.99","680","91.0%","https://s.click.aliexpress.com/e/_Dm0obgR"
"1005004447077583","https://ae04.alicdn.com/kf/S566b01958020471f8b6f17826c61dd2cJ.jpg",,"RoboCop Murphy  robot 35th Anniversary Luxury movie Anime Game Figurine PVC Action Figure Model Toy","USD 95.00","USD 89.30","6%","USD","7","USD 6.25","32","100.0%","https://s.click.aliexpress.com/e/_DmbJyAP"
"1005003247351441","https://ae04.alicdn.com/kf/H2ffde6166b6545f9867861cb6571e635c.jpg",,"2021 Mini Force Transformation Robot Toys Action Figures MiniForce X Volt Simulation Car Airplane Deformation Mini Toy","USD 15.20","USD 9.73","36%","USD","8.0","USD 0.78","72","88.6%","https://s.click.aliexpress.com/e/_DcHFSkT"
"1005003420690483","https://ae04.alicdn.com/kf/H7b06110d17244103939c8f65cfe05cd1V.jpg",,"8Pcs 13cm Disney Movie Real Steel Zeus Atom Midas Adam Raider Robot Noisy Boy Action Figure Model Toys Gift","USD 8.46","USD 6.77","20%","USD","7","USD 0.47","59","94.7%","https://s.click.aliexpress.com/e/_DdyOTsP"
"1005003288781968","https://ae04.alicdn.com/kf/S66532ee9000f492292af5b2e0fe8cfe3a.jpg",,"Star Wars Action Figure Robot R2-D2 Joints Movable 3.75-inches Model Ornaments Toys Children Gifts","USD 14.92","USD 12.23","18%","USD","8.0","USD 0.98","46","96.9%","https://s.click.aliexpress.com/e/_De0wp1v"
"1005003113309446","https://ae04.alicdn.com/kf/Hc255ed29d8e34e7bb62026e93ffa6d224.jpg",,"Children Toys Mini Transformation Robot Kit Toys Models 2 in 1 Deformed Car Toy Robots Toys For Kids Gift","USD 4.95","USD 3.46","30%","USD","10.0","USD 0.35","1160","92.6%","https://s.click.aliexpress.com/e/_DDlJCvV"
